grantee,Year,Funder Name,Location,Funder NameLocation,Amount,Purpose
Foundation Fighting Blindness Inc.,2011,Gordon & Llura Gund Foundation,"Princeton, NJ","Gordon & Llura Gund Foundation   Princeton, NJ","$1,137,920",To help further charitable purposes of organization.
Foundation Fighting Blindness Inc.,2011,Gordon & Llura Gund Foundation,"Princeton, NJ","Gordon & Llura Gund Foundation   Princeton, NJ","$980,000",To help further charitable purposes of organization.
Foundation Fighting Blindness Inc.,2011,W K Kellogg Foundation,"Battle Creek, MI","W K Kellogg Foundation   Battle Creek, MI","$400,000",Enable the organization to achieve its mission by providing general operatin
Foundation Fighting Blindness Inc.,2011,Charities Aid Foundation America,"Alexandria, VA","Charities Aid Foundation America   Alexandria, VA","$249,965",General support
Foundation Fighting Blindness Inc.,2011,Jewish Communal Fund,"New York, NY","Jewish Communal Fund   New York, NY","$227,512",Unrestricted general support
Foundation Fighting Blindness Inc.,2011,Foundation Fighting Blindness Retinal Degeneration Fund,"Columbia, MD","Foundation Fighting Blindness Retinal Degeneration Fund   Columbia, MD","$220,814",Research
Foundation Fighting Blindness Inc.,2011,Perot Foundation,"Dallas, TX","Perot Foundation   Dallas, TX","$100,000","Research, new drugs, and measures to prevent blindness"
Foundation Fighting Blindness Inc.,2011,Sarah K Decoizart Perpetual Charitable Tr Art 10,"Chicago, IL","Sarah K Decoizart Perpetual Charitable Tr Art 10   Chicago, IL","$90,000",Grant: medical research age related macular degeneration
Foundation Fighting Blindness Inc.,2011,Charities Aid Foundation America,"Alexandria, VA","Charities Aid Foundation America   Alexandria, VA","$72,547",General support
Foundation Fighting Blindness Inc.,2011,Greater Washington Community Foundation,"Washington, DC","Greater Washington Community Foundation   Washington, DC","$35,000","Programs, admin, fundraising and capacity building"
Foundation Fighting Blindness Inc.,2011,Carol Ann And Ralph V Haile Jr Foundation,"Covington, KY","Carol Ann And Ralph V Haile Jr Foundation   Covington, KY","$15,000",2011 northern kentucky/cincinnati visionwalk.
Foundation Fighting Blindness Inc.,2011,Points Of Light Foundation,"Atlanta, GA","Points Of Light Foundation   Atlanta, GA","$13,869",Volunteer support
Foundation Fighting Blindness Inc.,2011,Mabel H Flory Charitable Trust,"Orlando, FL","Mabel H Flory Charitable Trust   Orlando, FL","$11,000",Research
Foundation Fighting Blindness Inc.,2011,Winston Salem Industries For The Blind Inc.,"Winston Salem, NC","Winston Salem Industries For The Blind Inc.   Winston Salem, NC","$10,000","To help fund research for treatments, prevention and cures of blindness."
Foundation Fighting Blindness Inc.,2011,Winston Salem Industries For The Blind Inc.,"Winston Salem, NC","Winston Salem Industries For The Blind Inc.   Winston Salem, NC","$10,000","To help fund research for treatments, prevention and cures of blindness."
Foundation Fighting Blindness Inc.,2011,United Way Miami Inc.,"Miami, FL","United Way Miami Inc.   Miami, FL","$10,000",General support
Foundation Fighting Blindness Inc.,2011,Greater Cincinnati Foundation,"Cincinnati, OH","Greater Cincinnati Foundation   Cincinnati, OH","$8,200",General purpose
Foundation Fighting Blindness Inc.,2011,United Way Of King County,"Seattle, WA","United Way Of King County   Seattle, WA","$7,720",Designated gifts
Foundation Fighting Blindness Inc.,2011,Princeton Healthcare System Foundation Inc.,"Plainsboro, NJ","Princeton Healthcare System Foundation Inc.   Plainsboro, NJ","$7,500",Sponsorship
Foundation Fighting Blindness Inc.,2011,Phyllis And Robert E Levinson Foundation Inc.,"Delray Beach, FL","Phyllis And Robert E Levinson Foundation Inc.   Delray Beach, FL","$6,000",Unrestricted donations
Foundation Fighting Blindness Inc.,2011,Princeton Area Community Foundation Inc.,"Princeton, NJ","Princeton Area Community Foundation Inc.   Princeton, NJ","$5,050",General / program support
Foundation Fighting Blindness Inc.,2011,The United Way Of Central Maryland Inc.,"Baltimore, MD","The United Way Of Central Maryland Inc.   Baltimore, MD","$5,042",Designated and/or granted in support of agency programs
Foundation Fighting Blindness Inc.,2011,The Cleveland Clinic Foundation,"Cleveland, OH","The Cleveland Clinic Foundation   Cleveland, OH","$5,000",Community support
Foundation Fighting Blindness Inc.,2011,Cleveland Clinic Foundation,"Independence, OH","Cleveland Clinic Foundation   Independence, OH","$5,000",Community support
Foundation Fighting Blindness Inc.,2011,Communities Foundation Of Texas,"Dallas, TX","Communities Foundation Of Texas   Dallas, TX","$5,000","This is designated as a fully charitable contribution to foundation fighting blindness, inc for an ad tribute in the journal."
Foundation Fighting Blindness Inc.,2011,Posel Foundation,"Philadelphia, PA","Posel Foundation   Philadelphia, PA","$5,000","Drive research to provide preventions, treatments and cures for entire spectrum of retinal degenerative disease"
Foundation Fighting Blindness Inc.,2011,Mendelow Family Foundation Inc.,"New York, NY","Mendelow Family Foundation Inc.   New York, NY","$3,226",Medical support
Foundation Fighting Blindness Inc.,2011,Jwj Family Foundation,"Jackson, WY","Jwj Family Foundation   Jackson, WY","$3,000",Research for treating blindness
Foundation Fighting Blindness Inc.,2011,Prb Foundation,"Naples, FL","Prb Foundation   Naples, FL","$2,500",Exempt purpose
Foundation Fighting Blindness Inc.,2011,The Arthur & Patricia Price Foundation,"Encino, CA","The Arthur & Patricia Price Foundation   Encino, CA","$2,500",Charitable-unrestricted
Foundation Fighting Blindness Inc.,2011,John A Powell Family Foundation,"Naples, FL","John A Powell Family Foundation   Naples, FL","$2,500",Organization's exempt purpose
Foundation Fighting Blindness Inc.,2011,Gordon Hartman Foundation,"San Antonio, TX","Gordon Hartman Foundation   San Antonio, TX","$2,500",Unrestricted
Foundation Fighting Blindness Inc.,2011,Ruth Harbison Carr Fam Foundation Tr,"Morganton, NC","Ruth Harbison Carr Fam Foundation Tr   Morganton, NC","$2,000",General fund
Foundation Fighting Blindness Inc.,2011,John E & Caron G Avery Foundation Inc,"Trumbull, CT","John E & Caron G Avery Foundation Inc   Trumbull, CT","$2,000",To fight blindnesssupport programs
Foundation Fighting Blindness Inc.,2011,Kyle Todd Public Service Foundation Inc.,"Washington, DC","Kyle Todd Public Service Foundation Inc.   Washington, DC","$1,800",Charitable
Foundation Fighting Blindness Inc.,2011,Selma & Raymond Kramer Foundation,"Montclair, NJ","Selma & Raymond Kramer Foundation   Montclair, NJ","$1,000",To help organization achieve its goals
Foundation Fighting Blindness Inc.,2011,Jd Foundation,"Nashua, NH","Jd Foundation   Nashua, NH","$1,000",General purposes
Foundation Fighting Blindness Inc.,2011,Fowey Light Fund,"Westbury, NY","Fowey Light Fund   Westbury, NY","$1,000",Chartiable purpose of recipient
Foundation Fighting Blindness Inc.,2011,Heestand Foundation Inc.,"Chicago, IL","Heestand Foundation Inc.   Chicago, IL","$1,000",For annual fund (unrestricted)
Foundation Fighting Blindness Inc.,2011,Joseph F & Catherine M Bennett Family Foundation Inc,"Milwaukee, WI","Joseph F & Catherine M Bennett Family Foundation Inc   Milwaukee, WI","$1,000",General
Foundation Fighting Blindness Inc.,2011,Berley Family Foundation Inc.,"New York, NY","Berley Family Foundation Inc.   New York, NY","$1,000",General
Foundation Fighting Blindness Inc.,2011,Singh Family Foundation,"Medina, WA","Singh Family Foundation   Medina, WA","$1,000",To fight retinal degenerative disease
Foundation Fighting Blindness Inc.,2011,Richard And Jaci Lindstrom Foundation,"Wayzata, MN","Richard And Jaci Lindstrom Foundation   Wayzata, MN","$1,000",General expenses
Foundation Fighting Blindness Inc.,2011,Menaged Foundation,"San Francisco, CA","Menaged Foundation   San Francisco, CA","$1,000",Charitable donation
Foundation Fighting Blindness Inc.,2011,Henry G Sims & Henry U Sims Memorial Foundation,"Birmingham, AL","Henry G Sims & Henry U Sims Memorial Foundation   Birmingham, AL","$1,000",To support charitable purposes
Foundation Fighting Blindness Inc.,2011,The Pittsburgh Foundation,"Pittsburgh, PA","The Pittsburgh Foundation   Pittsburgh, PA","$1,000",General operating support
Foundation Fighting Blindness Inc.,2011,The Greater New Orleans Foundation,"New Orleans, LA","The Greater New Orleans Foundation   New Orleans, LA","$1,000",General support
Foundation Fighting Blindness Inc.,2011,U M R Foundation Inc.,"Sarasota, FL","U M R Foundation Inc.   Sarasota, FL","$1,000",See above
Foundation Fighting Blindness Inc.,2011,Gtj Foundation,"St Clr Shores, MI","Gtj Foundation   St Clr Shores, MI",$500,Vision walkdonation -fundraiser
Foundation Fighting Blindness Inc.,2011,Helen And Harry Saul Foundation,"Brentwood, TN","Helen And Harry Saul Foundation   Brentwood, TN",$500,General operations
Foundation Fighting Blindness Inc.,2011,James R And Lesley B Anixter Family Foundation,"Highland Park, IL","James R And Lesley B Anixter Family Foundation   Highland Park, IL",$500,To further the mission of the donee
Foundation Fighting Blindness Inc.,2011,Laughrey Family Foundation Inc.,"Carmel, IN","Laughrey Family Foundation Inc.   Carmel, IN",$500,"General use contribution, no stipulations"
Foundation Fighting Blindness Inc.,2011,Wyant Family Foundation,"Cincinnati, OH","Wyant Family Foundation   Cincinnati, OH",$500,"To drive research that will provide preventions, treatments, and cures for people affected by retinal degenerative diseases"
Foundation Fighting Blindness Inc.,2011,Communities Foundation Of Texas,"Dallas, TX","Communities Foundation Of Texas   Dallas, TX",$500,This grant is designated for general support in honor of deborah shaw.
Foundation Fighting Blindness Inc.,2011,Para Family Charitable Foundation Inc.,"Naperville, IL","Para Family Charitable Foundation Inc.   Naperville, IL",$500,For programs
Foundation Fighting Blindness Inc.,2011,Drabkin Family Foundation Inc,"Tarzana, CA","Drabkin Family Foundation Inc   Tarzana, CA",$500,Charitable
Foundation Fighting Blindness Inc.,2011,Mc Kinstry Charitable Foundation,"Seattle, WA","Mc Kinstry Charitable Foundation   Seattle, WA",$400,Health & science
Foundation Fighting Blindness Inc.,2011,Allen S Taylor Foundation,"San Carlos, CA","Allen S Taylor Foundation   San Carlos, CA",$400,To further the general purposes of the recipient organization.
Foundation Fighting Blindness Inc.,2011,Jack & Shirley Dubow Charitable Foundation,"Riverwoods, IL","Jack & Shirley Dubow Charitable Foundation   Riverwoods, IL",$250,Unrestricted
Foundation Fighting Blindness Inc.,2011,Mentor Graphics Foundation,"Wilsonville, OR","Mentor Graphics Foundation   Wilsonville, OR",$200,To fund research for eye diseases
Foundation Fighting Blindness Inc.,2011,Gaynor Family Foundation,"Cincinnati, OH","Gaynor Family Foundation   Cincinnati, OH",$200,General
Foundation Fighting Blindness Inc.,2011,Nabama Foundation,"Cincinnati, OH","Nabama Foundation   Cincinnati, OH",$200,Team irish eyes
Foundation Fighting Blindness Inc.,2011,J Howard & Joann M Frazer Foundation,"Naples, FL","J Howard & Joann M Frazer Foundation   Naples, FL",$100,Charitable
Foundation Fighting Blindness Inc.,2011,Jordan And Deanna Berman Family Charitable Foundation,"Springhouse, PA","Jordan And Deanna Berman Family Charitable Foundation   Springhouse, PA",$100,General charitable purposes
Foundation Fighting Blindness Inc.,2011,Thomas L Habig Fdn Inc.,"Jasper, IN","Thomas L Habig Fdn Inc.   Jasper, IN",$100,Unrestricted
Foundation Fighting Blindness Inc.,2011,Mentor Graphics Foundation,"Wilsonville, OR","Mentor Graphics Foundation   Wilsonville, OR",$100,To fund research for eye diseases
Foundation Fighting Blindness Inc.,2011,Jpmorgan Chase Foundation,"New York, NY","Jpmorgan Chase Foundation   New York, NY",$50,Matching gifts grant
Foundation Fighting Blindness Inc.,2011,Faye And Mayer Krupp Family Foundation,"St. Louis Park, MN","Faye And Mayer Krupp Family Foundation   St. Louis Park, MN",$50,General operations
Foundation Fighting Blindness Inc.,2011,The Weaver Family Foundation,"Santa Monica, CA","The Weaver Family Foundation   Santa Monica, CA",$50,General
Foundation Fighting Blindness Inc.,2011,Jpmorgan Chase Foundation,"New York, NY","Jpmorgan Chase Foundation   New York, NY",$30,Matching gifts grant
Foundation Fighting Blindness Inc.,2010,Gordon & Llura Gund Foundation,"Princeton, NJ","Gordon & Llura Gund Foundation   Princeton, NJ","$500,000",To help further charitable purposes of organization.
Foundation Fighting Blindness Inc.,2010,Gordon & Llura Gund Foundation,"Princeton, NJ","Gordon & Llura Gund Foundation   Princeton, NJ","$250,000",To help further charitable purposes of organization.
Foundation Fighting Blindness Inc.,2010,Jewish Communal Fund,"New York, NY","Jewish Communal Fund   New York, NY","$234,502",Unrestricted general support
Foundation Fighting Blindness Inc.,2010,Gordon & Llura Gund Foundation,"Princeton, NJ","Gordon & Llura Gund Foundation   Princeton, NJ","$125,000",To help further charitable purposes of organization.
Foundation Fighting Blindness Inc.,2010,Gordon & Llura Gund Foundation,"Princeton, NJ","Gordon & Llura Gund Foundation   Princeton, NJ","$60,000",To help further charitable purposes of organization.
Foundation Fighting Blindness Inc.,2010,Greater Washington Community Foundation,"Washington, DC","Greater Washington Community Foundation   Washington, DC","$52,500","Programs, admin, fundraising and capacity building"
Foundation Fighting Blindness Inc.,2010,The Greater New Orleans Foundation,"New Orleans, LA","The Greater New Orleans Foundation   New Orleans, LA","$48,000",General support
Foundation Fighting Blindness Inc.,2010,Boston Foundation Inc.,"Boston, MA","Boston Foundation Inc.   Boston, MA","$10,500",Operating support
Foundation Fighting Blindness Inc.,2010,Carol Ann And Ralph V Haile Jr Foundation,"Covington, KY","Carol Ann And Ralph V Haile Jr Foundation   Covington, KY","$10,000",Grant for 2010 northern kentucky / cincinnati visionwalk
Foundation Fighting Blindness Inc.,2010,The Catherine B Reynolds Foundation Inc.,"Sterling, VA","The Catherine B Reynolds Foundation Inc.   Sterling, VA","$10,000",General support
Foundation Fighting Blindness Inc.,2010,Greater Cincinnati Foundation,"Cincinnati, OH","Greater Cincinnati Foundation   Cincinnati, OH","$8,100",General purpose
Foundation Fighting Blindness Inc.,2010,United Way Of King County,"Seattle, WA","United Way Of King County   Seattle, WA","$7,720",Designated gifts
