grantee,Year,Funder Name,Location,Funder NameLocation,Amount,Purpose
Foundation Fighting Blindness Inc.,2025,Rbg Inc.,"Denver, CO","Rbg Inc.   Denver, CO","$5,125","Founded in 1971, the foundation fighting blindness is a leading private funding source for research on retinal degenerative diseases, including retinitis pigmentosa and age-related macular degeneration. its mission is to accelerate research for prevention, treatment, and cures."
Foundation Fighting Blindness Inc.,2025,Greater Washington Community Foundation,"Washington, DC","Greater Washington Community Foundation   Washington, DC","$5,000",General support
Foundation Fighting Blindness Inc.,2025,George W Bauer Family Foundation,"Cranford, NJ","George W Bauer Family Foundation   Cranford, NJ","$5,000",Unrestricted
Foundation Fighting Blindness Inc.,2025,Mark P & Joyce A Davis Char Tr,"Dallas, TX","Mark P & Joyce A Davis Char Tr   Dallas, TX","$5,000",Unrestricted general
Foundation Fighting Blindness Inc.,2025,Meyer And Raena Hammerman Foundation,"Chicago, IL","Meyer And Raena Hammerman Foundation   Chicago, IL","$3,834",Operating programs
Foundation Fighting Blindness Inc.,2025,Joseph & Arlene Taub Foundation,"Florham Park, NJ","Joseph & Arlene Taub Foundation   Florham Park, NJ","$2,500",Unrestricted grant to support the organization's exempt purpose.
Foundation Fighting Blindness Inc.,2025,Robert And Eleanor Demple Family Foundation,"Sheridan, WY","Robert And Eleanor Demple Family Foundation   Sheridan, WY","$2,000",Health
Foundation Fighting Blindness Inc.,2025,Emil & Ruth Green Fdn Jmg,"Pennington, NJ","Emil & Ruth Green Fdn Jmg   Pennington, NJ","$1,500",Unrestricted general
Foundation Fighting Blindness Inc.,2025,Norman & Myra Ricken Trust Charitable Trust,"West Palm Beach, FL","Norman & Myra Ricken Trust Charitable Trust   West Palm Beach, FL","$1,250",General
Foundation Fighting Blindness Inc.,2025,Woodland Foundation,"Barrington, IL","Woodland Foundation   Barrington, IL","$1,000",Charitable
Foundation Fighting Blindness Inc.,2025,Commonwealth Fund,"New York, NY","Commonwealth Fund   New York, NY",$950,Matching gifts for general operating support
Foundation Fighting Blindness Inc.,2025,Select Equity Group Foundation,"New York, NY","Select Equity Group Foundation   New York, NY",$750,Matching gift
Foundation Fighting Blindness Inc.,2025,Lippincott Foundation Inc.,"North Haven, CT","Lippincott Foundation Inc.   North Haven, CT",$513,General support
Foundation Fighting Blindness Inc.,2025,Edward And Susan Blumenfeld Foundation,"Syosset, NY","Edward And Susan Blumenfeld Foundation   Syosset, NY",$500,General support
Foundation Fighting Blindness Inc.,2025,Swagelok Foundation,"Solon, OH","Swagelok Foundation   Solon, OH",$100,To further the organization's tax exempt purpose
Foundation Fighting Blindness Inc.,2024,George Gund Foundation,"Cleveland, OH","George Gund Foundation   Cleveland, OH","$2,000,000",Retinal degenerative disease research
Foundation Fighting Blindness Inc.,2024,Gordon Gund And Llura Liggett Gund 1993 Charitable Foundation,"Concord, MA","Gordon Gund And Llura Liggett Gund 1993 Charitable Foundation   Concord, MA","$1,000,000",Support the charitable purpose of the organization
Foundation Fighting Blindness Inc.,2024,Diana Davis Spencer Foundation,"Bethesda, MD","Diana Davis Spencer Foundation   Bethesda, MD","$1,000,000",Research and career development award program
Foundation Fighting Blindness Inc.,2024,Donor Advised Charitable Giving,"San Francisco, CA","Donor Advised Charitable Giving   San Francisco, CA","$669,351",Health
Foundation Fighting Blindness Inc.,2024,National Christian Charitable Foundation,"Alpharetta, GA","National Christian Charitable Foundation   Alpharetta, GA","$484,575",Medical research
Foundation Fighting Blindness Inc.,2024,National Philanthropic Tr,"Jenkintown, PA","National Philanthropic Tr   Jenkintown, PA","$264,325",Health
Foundation Fighting Blindness Inc.,2024,Usher 1f Collaborative Inc.,"Newtonville, MA","Usher 1f Collaborative Inc.   Newtonville, MA","$200,000",
Foundation Fighting Blindness Inc.,2024,Max And Minnie Tomerlin Voelcker Fund,"San Antonio, TX","Max And Minnie Tomerlin Voelcker Fund   San Antonio, TX","$175,000",Support age related macular degeneration research
Foundation Fighting Blindness Inc.,2024,Vanguard Charitable Endowment Program,"Malvern, PA","Vanguard Charitable Endowment Program   Malvern, PA","$168,650",For recipient's exempt purpose
Foundation Fighting Blindness Inc.,2024,New York Eye And Ear Infirmary Foundation,"New York, NY","New York Eye And Ear Infirmary Foundation   New York, NY","$125,000",Identifying mechanisms of stargardt disease from zebrafish models
Foundation Fighting Blindness Inc.,2024,Jewish Communal Fund,"New York, NY","Jewish Communal Fund   New York, NY","$121,000",In furtherance of grantee's tax-exempt purpose
Foundation Fighting Blindness Inc.,2024,Sarah K Decoizart Perpetual Charitable Tr Art 10,"Chicago, IL","Sarah K Decoizart Perpetual Charitable Tr Art 10   Chicago, IL","$100,000",Program support
Foundation Fighting Blindness Inc.,2024,Paypal Charitable Giving Fund,"Washington, DC","Paypal Charitable Giving Fund   Washington, DC","$75,640",General support
Foundation Fighting Blindness Inc.,2024,Manning Family Foundation,"Charlottesvle, VA","Manning Family Foundation   Charlottesvle, VA","$61,335",General
Foundation Fighting Blindness Inc.,2024,Gs Donor Advised Philanthropy Fund For Wealth Management Inc.,"New York, NY","Gs Donor Advised Philanthropy Fund For Wealth Management Inc.   New York, NY","$53,950",Medical / public services
Foundation Fighting Blindness Inc.,2024,Michael W Louis Private Foundation,"Lake Geneva, WI","Michael W Louis Private Foundation   Lake Geneva, WI","$50,000",General contribution
Foundation Fighting Blindness Inc.,2024,Cranberry Cup Charitable Association Inc.,"Concord, MA","Cranberry Cup Charitable Association Inc.   Concord, MA","$50,000",To help organization meet its charitable purpose
Foundation Fighting Blindness Inc.,2024,Denver Foundation,"Denver, CO","Denver Foundation   Denver, CO","$48,000","Eye diseases, blindness & vision impairments"
Foundation Fighting Blindness Inc.,2024,The Rhode Island Community Foundation,"Providence, RI","The Rhode Island Community Foundation   Providence, RI","$45,000",Hl - healthy lives (primary)
Foundation Fighting Blindness Inc.,2024,Donahue Charitable Foundation,"Charlotte, NC","Donahue Charitable Foundation   Charlotte, NC","$35,000",Visual impairment research
Foundation Fighting Blindness Inc.,2024,Morgan Stanley Global Impact Funding Trust Inc.,"Indianapolis, IN","Morgan Stanley Global Impact Funding Trust Inc.   Indianapolis, IN","$30,000",Unrestricted general support
Foundation Fighting Blindness Inc.,2024,Allen B Cutting Foundation,"Palm City, FL","Allen B Cutting Foundation   Palm City, FL","$30,000",Education
Foundation Fighting Blindness Inc.,2024,The Us Charitable Gift Trust,"Boston, MA","The Us Charitable Gift Trust   Boston, MA","$28,500",For recipient's exempt purpose
Foundation Fighting Blindness Inc.,2024,Jewish Federation Of Metropolitan Chicago,"Chicago, IL","Jewish Federation Of Metropolitan Chicago   Chicago, IL","$25,700",Grants from donor advised funds- operating support
Foundation Fighting Blindness Inc.,2024,William J And Frances E Deutsch Charitable Foundation,"Riverside, CT","William J And Frances E Deutsch Charitable Foundation   Riverside, CT","$21,680",Unrestricted
Foundation Fighting Blindness Inc.,2024,William G & Helen Hoffman Foundation,"Saint Louis, MO","William G & Helen Hoffman Foundation   Saint Louis, MO","$21,000",General operating
Foundation Fighting Blindness Inc.,2024,Cultures Of Resistance Network Foundation,"Wilmington, DE","Cultures Of Resistance Network Foundation   Wilmington, DE","$20,000",General & unrestricted
Foundation Fighting Blindness Inc.,2024,Margaret Blanke Grigg Foundation,"Saint Louis, MO","Margaret Blanke Grigg Foundation   Saint Louis, MO","$20,000",General purposes
Foundation Fighting Blindness Inc.,2024,American Endowment Foundation,"Hudson, OH","American Endowment Foundation   Hudson, OH","$15,500",General operating support
Foundation Fighting Blindness Inc.,2024,Goldman Philanthropic Partnerships,"Knoxville, TN","Goldman Philanthropic Partnerships   Knoxville, TN","$15,000",Research and support
Foundation Fighting Blindness Inc.,2024,Morgan Stanley Global Impact Funding Trust Inc.,"Indianapolis, IN","Morgan Stanley Global Impact Funding Trust Inc.   Indianapolis, IN","$15,000",Unrestricted general support
Foundation Fighting Blindness Inc.,2024,Americas Charities,"Chantilly, VA","Americas Charities   Chantilly, VA","$10,709",General support
Foundation Fighting Blindness Inc.,2024,Crawford Taylor Foundation,"Saint Louis, MO","Crawford Taylor Foundation   Saint Louis, MO","$10,000",Annual fund - support
Foundation Fighting Blindness Inc.,2024,United Heritage Credit Union,"Austin, TX","United Heritage Credit Union   Austin, TX","$10,000","Donation to find preventions, treatments, and curese for blinding retinal degenerative diseases"
Foundation Fighting Blindness Inc.,2024,River Hills Lake Wylie Lions Charities Inc.,"Lake Wylie, SC","River Hills Lake Wylie Lions Charities Inc.   Lake Wylie, SC","$10,000",Program support
